Exposure Class,Cement Type,Concrete Grade,Cover
XC1,CEM I : CEM IV/B,C12/16 : C16/20,NULL
,,C20/25 : C90/105,15
XC2,CEM I : CEM IV/B,C12/16 : C20/25,NULL
,,C25/30 : C90/105,25
XC3: XC4,CEM I : CEM III/B,C12/16 : C20/25,NULL
,,C25/30,35
,,C28/35 : C30/37,30
,,C32/40 : C35/45,25
,,C40/50 : C90/105,20
,CEM IV/B,C12/16 : C90/105,NULL
XD1,CEM I : CEM IV/B,C12/16 : C25/30,NULL
,,C28/35 : C30/37,35
,,C32/40 : C35/45,30
,,C40/50 : C90/105,25
XD2,CEM I : SRPC,C12/16 : C25/30,NULL
,,C28/35 : C30/37,40
,,C32/40 : C35/45,35
,,C40/50 : C90/105,30
,CEM II/B-V : CEM III/A,C12/16 : C20/25,NULL
,,C25/30,40
,,C28/35 : C32/40,35
,,C35/45 : C90/105,30
,CEM III/B : CEM IV/B,C12/16 : C16/20,NULL
,,C20/25,40
,,C25/30 : C30/37,35
,,C32/40 : C90/105,30
XD3,CEM I : SRPC,C12/16 : C32/40,NULL
,,C35/45,50
,,C40/50,45
,,C45/55 : C90/105,40
,CEM II/B-V : CEM III/A,C12/16 : C25/30,NULL
,,C28/35 : C30/37,50
,,C32/40,45
,,C35/45 : C90/105,40
,CEM III/B : CEM IV/B,C12/16 : C20/25,NULL
,,C25/30,50
,,C28/35 : C30/37,45
,,C32/40 : C90/105,40
XS1,CEM I : SRPC,C12/16 : C32/40,NULL
,,C35/45,40
,,C40/50 : C45/55,35
,,C50/60 : C90/105,30
,CEM II/B-V : CEM III/A,C12/16 : C30/37,NULL
,,C32/40,40
,,C35/45 : C40/50,35
,,C45/55 : C90/105,30
,CEM III/B: CEM IV/B,C12/16 : C20/25,NULL
,,C25/30,40
,,C28/35 : C32/40,35
,,C35/45 : C90/105,30
XS2,CEM I: SRPC,C12/16 : C25/30,NULL
,,C28/35 : C30/37,40
,,C32/40 : C35/45,35
,,C40/50 : C90/105,30
,CEM II/B-V :  CEM III/A,C12/16 : C20/25,NULL
,,C25/30,40
,,C28/35 : C32/40,35
,,C35/45 : C90/105,30
,CEM III/B: CEM IV/B,C12/16 : C16/20,NULL
,,C20/25,40
,,C25/30 : C30/37,35
,,C32/40 : C90/105,30
XS3,CEM I : SRPC,C12/16 : C35/45,NULL
,,C40/50,50
,,C45/55 : C90/105,45
,CEM II/B-V : CEM III/A,C12/16 : C25/30,NULL
,,C28/35 : C30/37,50
,,C32/40,45
,,C35/45 : C90/105,40
,CEM III/B : CEM IV/B,C12/16 : C20/25,NULL
,,C25/30,50
,,C28/35 : C30/37,45
,,C32/40 : C90/105,40
