Standard fire resistance,"Mechanical reinforcement
ratio ?","n = 0,15","n  = 0,3","n = 0,5","n = 0,7"
REI 30,0.100,150/25,150/25,200/30:250/25,300/30:350/25
,0.500,150/25,150/25,150/25,200/30:250/25
,1.000,150/25,150/25,150/25,200/30:300/25
REI 60,0.100,150/30:200/25,200/40:300/25,300/40:500/25,500/25
,0.500,150/25,150/35:200/25,250/35:350/25,350/40:550/25
,1.000,150/25,150/30:200/25,200/40:400/25,300/50:600/30
REI 90,0.100,200/40:250/25,300/40:400/25,500/50:550/25,550/40:600/25
,0.500,150/35:200/25,200/45:300/25,300/45:550/25,500/50:600/40
,1.000,200/25,200/40:300/25,250/40:550/25,500/50:600/45
REI 120,0.100,250/50:350/25,400/50:550/25,550/25*,550/60:600/45
,0.500,200/45:300/25,300/45:550/25,450/50:600/25,500/60:600/50
,1.000,200/40:250/25,250/50:400/25,450/45:600/30,600/60
REI 180,0.100,400/50:500/25,500/60:550/25,550/60:600/30,NULL
,0.500,300/45:450/25,450/50:600/25,500/60:600/50,600/75
,1.000,300/35:400/25,450/50:550/25,500/60:600/45,NULL
REI 240,0.100,500/60:550/25,550/40:600/25,600/75,NULL
,0.500,450/45:500/25,550/55:600/25,600/70,NULL
,1.000,400/45:500/25,500/40:600/30,600/60,NULL
